model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,query_type,n,accuracy,parse_rate
qwen3_0_6b,Qwen3-0.6B,stress,hard,nl_formal,nie,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,ate,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,backadj,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,collider_bias,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,correlation,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,det-counterfactual,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,ett,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,exp_away,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,marginal,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,nde,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl,nie,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,ate,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,backadj,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,collider_bias,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,correlation,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,det-counterfactual,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,ett,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,exp_away,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,marginal,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,nde,10,0.5,1.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nl_formal,nie,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,ate,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,backadj,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,collider_bias,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,correlation,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,det-counterfactual,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,ett,10,0.3,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,exp_away,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,marginal,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,nde,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,nie,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,ate,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,backadj,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,collider_bias,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,correlation,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,det-counterfactual,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,ett,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,exp_away,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,marginal,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,nde,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,nie,10,0.7,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,ate,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,backadj,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,collider_bias,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,correlation,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,det-counterfactual,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,ett,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,exp_away,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,marginal,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,nde,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,nie,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,ate,10,0.7,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,backadj,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,collider_bias,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,correlation,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,det-counterfactual,10,0.7,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,ett,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,exp_away,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,marginal,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,nde,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,nie,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl,ate,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl,backadj,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl,collider_bias,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl,correlation,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl,det-counterfactual,10,0.7,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl,ett,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl,exp_away,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl,marginal,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl,nde,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl,nie,10,0.3,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,ate,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,backadj,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,collider_bias,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,correlation,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,det-counterfactual,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,ett,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,exp_away,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,marginal,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,nde,10,0.3,1.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,nie,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl,ate,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl,backadj,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl,collider_bias,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl,correlation,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl,det-counterfactual,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl,ett,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl,exp_away,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl,marginal,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl,nde,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl,nie,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,ate,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,backadj,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,collider_bias,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,correlation,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,det-counterfactual,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,ett,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,exp_away,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,marginal,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,nde,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,nie,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,ate,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,backadj,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,collider_bias,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,correlation,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,det-counterfactual,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,ett,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,exp_away,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,marginal,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,nde,10,0.6,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,nie,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,ate,10,0.4,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,backadj,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,collider_bias,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,correlation,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,det-counterfactual,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,ett,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,exp_away,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,marginal,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,nde,10,0.5,1.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,nie,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,ate,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,backadj,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,collider_bias,10,0.3,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,correlation,10,0.3,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,det-counterfactual,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,ett,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,exp_away,10,0.8,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,marginal,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,nde,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,nie,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,ate,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,backadj,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,collider_bias,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,correlation,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,det-counterfactual,10,0.8,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,ett,10,0.3,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,exp_away,10,0.3,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,marginal,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,nde,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,nie,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,ate,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,backadj,10,0.7,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,collider_bias,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,correlation,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,det-counterfactual,10,0.3,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,ett,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,exp_away,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,marginal,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,nde,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,nie,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,ate,10,0.7,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,backadj,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,collider_bias,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,correlation,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,det-counterfactual,10,0.8,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,ett,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,exp_away,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,marginal,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,nde,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,nie,10,0.7,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,ate,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,backadj,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,collider_bias,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,correlation,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,det-counterfactual,10,0.7,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,ett,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,exp_away,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,marginal,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,nde,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl,nie,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,ate,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,backadj,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,collider_bias,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,correlation,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,det-counterfactual,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,ett,10,0.7,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,exp_away,10,0.7,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,marginal,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,nde,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,nie,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,ate,10,0.3,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,backadj,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,collider_bias,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,correlation,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,det-counterfactual,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,ett,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,exp_away,10,0.3,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,marginal,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,nde,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl,nie,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,ate,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,backadj,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,collider_bias,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,correlation,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,det-counterfactual,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,ett,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,exp_away,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,marginal,10,0.2,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,nde,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,nie,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,ate,10,0.1,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,backadj,10,0.7,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,collider_bias,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,correlation,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,det-counterfactual,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,ett,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,exp_away,10,0.4,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,marginal,10,0.7,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,nde,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,nie,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,ate,10,0.2,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,backadj,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,collider_bias,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,correlation,10,0.6,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,det-counterfactual,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,ett,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,exp_away,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,marginal,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,nde,10,0.5,1.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,nie,10,0.3,1.0
