model,model_display_name,sample_mode,prompt_mode,story_id,left_sample_id,right_sample_id,transition,gold_same,pred_same,has_invalid,is_consistent
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11730,6121,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11730,6206,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11730,20098,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11730,16597,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11730,1340,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11730,6192,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11730,1386,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11730,6148,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11730,6172,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11730,16534,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11730,11745,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11787,11860,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11787,6121,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11787,6206,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11787,20098,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11787,16597,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11787,1340,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11787,6192,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11787,1386,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11787,6148,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11787,6172,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11787,16534,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11787,11745,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16571,11860,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16571,6121,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16571,6206,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16571,20098,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16571,16597,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16571,1340,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16571,6192,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16571,1386,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16571,6148,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16571,6172,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16571,16534,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16571,11745,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1326,11860,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1326,6121,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1326,6206,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1326,20098,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1326,16597,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1326,1340,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1326,6192,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1326,1386,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1326,6148,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1326,6172,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1326,16534,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1326,11745,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11860,20098,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11860,16597,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11860,1386,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11860,6148,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11860,6172,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11860,16534,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,11860,11745,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6121,20098,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6121,16597,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6121,1386,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6121,6148,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6121,6172,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6121,16534,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6121,11745,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6206,20098,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6206,16597,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6206,1386,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6206,6148,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6206,6172,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6206,16534,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6206,11745,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,20098,1340,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,20098,6192,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16597,1340,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,16597,6192,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1340,1386,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1340,6148,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1340,6172,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1340,16534,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,1340,11745,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6192,1386,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6192,6148,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6192,6172,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6192,16534,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,blood_pressure,6192,11745,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,candle,166,9539,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,candle,166,4978,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,candle,166,10599,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,candle,4986,9539,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,candle,4986,4978,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,candle,4986,10599,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,12055,12053,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,12055,6428,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,12055,16751,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,12055,20116,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,12055,11990,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,12044,12053,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,12044,6428,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,12044,16751,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,12044,20116,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,12044,11990,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,12053,20116,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,6428,20116,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,16751,20116,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,cholesterol,20116,11990,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1693,6527,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1693,16851,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1693,16862,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1693,16920,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1693,6551,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1693,12116,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1693,12104,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1693,16921,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1691,6527,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1691,16851,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1691,16862,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1691,16920,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1691,6551,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1691,12116,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1691,12104,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,1691,16921,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6495,6527,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6495,16851,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6495,16862,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6495,16920,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6495,6551,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6495,12116,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6495,12104,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6495,16921,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16876,6527,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16876,16851,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16876,16862,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16876,16920,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16876,6551,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16876,12116,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16876,12104,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16876,16921,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6527,16920,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6527,6551,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6527,16921,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16851,16920,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16851,6551,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16851,16921,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16862,16920,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16862,6551,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16862,16921,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16920,12116,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,16920,12104,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6551,12116,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,6551,12104,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,12116,16921,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_salary,12104,16921,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,17002,6637,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,17002,12258,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,17002,9810,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,17002,9819,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,17002,17041,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,12260,6637,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,12260,12258,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,12260,9810,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,12260,9819,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,12260,17041,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,12208,6637,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,12208,12258,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,12208,9810,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,12208,9819,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,12208,17041,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,6637,9810,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,6637,9819,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,12258,9810,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,12258,9819,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,9810,17041,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,college_wage,9819,17041,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,elite_students,17129,1941,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,12451,12481,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,12451,12408,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,12451,2143,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,12451,12452,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,12451,6873,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,6773,12481,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,6773,12408,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,6773,2143,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,6773,12452,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,6773,6873,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,6901,12481,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,6901,12408,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,6901,2143,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,6901,12452,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,6901,6873,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,12481,12452,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,12481,6873,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,12408,12452,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,12408,6873,1→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,2143,12452,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,encouagement_program,2143,6873,1→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,295,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,5194,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,10761,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,371,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,5100,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,9564,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,9580,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,19947,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,355,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,10705,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,10752,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,346,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,5138,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,5133,10714,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,15502,295,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,15502,5194,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,15502,10761,1→2,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,15502,371,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,15502,5100,1→2,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,15502,9564,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,15502,9580,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,15502,19947,2→3,False,True,False,0
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,15502,355,2→3,True,True,False,1
qwen3_0_6b,Qwen3-0.6B,formal,direct,firing_employee,15502,10705,2→3,True,True,False,1
