pair_id,story_id,query_type,rung,component,layer,clean_logit_diff,corrupted_logit_diff,patched_logit_diff,recovery,method
29958->29953,nonsense2,det-counterfactual,3,attention,15,6.875,7.1875,7.1875,0.0,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,16,6.875,7.1875,7.25,0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,17,6.875,7.1875,7.0625,-0.125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,18,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,19,6.875,7.1875,7.0625,-0.125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,20,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,21,6.875,7.1875,7.0625,-0.125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,22,6.875,7.1875,6.9375,-0.25,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,23,6.875,7.1875,7.03125,-0.15625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,24,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,25,6.875,7.1875,7.1875,0.0,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,26,6.875,7.1875,7.15625,-0.03125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,attention,27,6.875,7.1875,7.15625,-0.03125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,0,6.875,7.1875,7.1875,0.0,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,1,6.875,7.1875,7.1875,0.0,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,2,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,3,6.875,7.1875,7.0625,-0.125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,4,6.875,7.1875,7.28125,0.09375,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,5,6.875,7.1875,7.4375,0.25,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,6,6.875,7.1875,6.96875,-0.21875,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,7,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,8,6.875,7.1875,7.1875,0.0,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,9,6.875,7.1875,7.1875,0.0,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,10,6.875,7.1875,7.0625,-0.125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,11,6.875,7.1875,6.875,-0.3125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,12,6.875,7.1875,7.25,0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,13,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,14,6.875,7.1875,7.3125,0.125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,15,6.875,7.1875,7.1875,0.0,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,16,6.875,7.1875,7.1875,0.0,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,17,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,18,6.875,7.1875,6.96875,-0.21875,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,19,6.875,7.1875,6.9375,-0.25,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,20,6.875,7.1875,7.15625,-0.03125,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,21,6.875,7.1875,6.9375,-0.25,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,22,6.875,7.1875,7.0,-0.1875,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,23,6.875,7.1875,7.09375,-0.09375,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,24,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,25,6.875,7.1875,7.125,-0.0625,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,26,6.875,7.1875,7.1875,0.0,transformer_lens
29958->29953,nonsense2,det-counterfactual,3,mlp,27,6.875,7.1875,7.0,-0.1875,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,0,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,1,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,2,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,3,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,4,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,5,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,6,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,7,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,8,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,9,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,10,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,11,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,12,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,13,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,14,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,15,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,16,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,17,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,18,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,19,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,20,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,21,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,22,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,23,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,24,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,25,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,26,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,residual,27,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,0,8.4375,8.8125,8.375,-0.4375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,1,8.4375,8.8125,8.375,-0.4375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,2,8.4375,8.8125,8.5,-0.3125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,3,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,4,8.4375,8.8125,8.5625,-0.25,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,5,8.4375,8.8125,8.5,-0.3125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,6,8.4375,8.8125,8.5,-0.3125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,7,8.4375,8.8125,8.875,0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,8,8.4375,8.8125,8.5,-0.3125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,9,8.4375,8.8125,8.5,-0.3125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,10,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,11,8.4375,8.8125,8.9375,0.125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,12,8.4375,8.8125,8.5,-0.3125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,13,8.4375,8.8125,8.375,-0.4375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,14,8.4375,8.8125,8.625,-0.1875,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,15,8.4375,8.8125,8.3125,-0.5,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,16,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,17,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,18,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,19,8.4375,8.8125,8.875,0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,20,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,21,8.4375,8.8125,8.625,-0.1875,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,22,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,23,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,24,8.4375,8.8125,8.875,0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,25,8.4375,8.8125,8.8125,0.0,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,26,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,attention,27,8.4375,8.8125,8.875,0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,0,8.4375,8.8125,8.25,-0.5625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,1,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,2,8.4375,8.8125,8.5,-0.3125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,3,8.4375,8.8125,8.5,-0.3125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,4,8.4375,8.8125,8.4375,-0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,5,8.4375,8.8125,8.625,-0.1875,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,6,8.4375,8.8125,8.5,-0.3125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,7,8.4375,8.8125,8.5625,-0.25,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,8,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,9,8.4375,8.8125,8.6875,-0.125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,10,8.4375,8.8125,8.625,-0.1875,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,11,8.4375,8.8125,8.375,-0.4375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,12,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,13,8.4375,8.8125,9.1875,0.375,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,14,8.4375,8.8125,8.625,-0.1875,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,15,8.4375,8.8125,8.6875,-0.125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,16,8.4375,8.8125,8.6875,-0.125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,17,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,18,8.4375,8.8125,8.625,-0.1875,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,19,8.4375,8.8125,8.6875,-0.125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,20,8.4375,8.8125,8.625,-0.1875,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,21,8.4375,8.8125,8.6875,-0.125,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,22,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,23,8.4375,8.8125,8.875,0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,24,8.4375,8.8125,8.8125,0.0,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,25,8.4375,8.8125,8.75,-0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,26,8.4375,8.8125,8.875,0.0625,transformer_lens
9110->4405,smoking_gene_cancer,nde,3,mlp,27,8.4375,8.8125,8.5625,-0.25,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,0,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,1,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,2,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,3,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,4,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,5,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,6,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,7,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,8,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,9,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,10,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,11,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,12,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,13,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,14,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,15,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,16,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,17,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,18,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,19,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,20,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,21,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,22,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,23,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,24,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,25,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,26,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,residual,27,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,0,6.3125,6.21875,6.40625,0.1875,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,1,6.3125,6.21875,6.28125,0.0625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,2,6.3125,6.21875,6.46875,0.25,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,3,6.3125,6.21875,6.0625,-0.15625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,4,6.3125,6.21875,6.375,0.15625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,5,6.3125,6.21875,6.40625,0.1875,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,6,6.3125,6.21875,6.4375,0.21875,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,7,6.3125,6.21875,6.375,0.15625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,8,6.3125,6.21875,6.4375,0.21875,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,9,6.3125,6.21875,6.28125,0.0625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,10,6.3125,6.21875,6.375,0.15625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,11,6.3125,6.21875,6.375,0.15625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,12,6.3125,6.21875,6.5625,0.34375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,13,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,14,6.3125,6.21875,6.125,-0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,15,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,16,6.3125,6.21875,6.15625,-0.0625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,17,6.3125,6.21875,6.4375,0.21875,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,18,6.3125,6.21875,6.25,0.03125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,19,6.3125,6.21875,6.125,-0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,20,6.3125,6.21875,6.1875,-0.03125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,21,6.3125,6.21875,6.1875,-0.03125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,22,6.3125,6.21875,6.15625,-0.0625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,23,6.3125,6.21875,6.25,0.03125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,24,6.3125,6.21875,6.15625,-0.0625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,25,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,26,6.3125,6.21875,6.125,-0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,attention,27,6.3125,6.21875,6.1875,-0.03125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,0,6.3125,6.21875,6.375,0.15625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,1,6.3125,6.21875,6.0625,-0.15625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,2,6.3125,6.21875,6.0,-0.21875,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,3,6.3125,6.21875,6.34375,0.125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,4,6.3125,6.21875,6.5625,0.34375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,5,6.3125,6.21875,6.0625,-0.15625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,6,6.3125,6.21875,6.4375,0.21875,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,7,6.3125,6.21875,6.1875,-0.03125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,8,6.3125,6.21875,6.5625,0.34375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,9,6.3125,6.21875,6.25,0.03125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,10,6.3125,6.21875,6.4375,0.21875,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,11,6.3125,6.21875,6.53125,0.3125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,12,6.3125,6.21875,6.4375,0.21875,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,13,6.3125,6.21875,6.5625,0.34375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,14,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,15,6.3125,6.21875,6.25,0.03125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,16,6.3125,6.21875,6.125,-0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,17,6.3125,6.21875,6.625,0.40625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,18,6.3125,6.21875,6.34375,0.125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,19,6.3125,6.21875,6.28125,0.0625,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,20,6.3125,6.21875,6.40625,0.1875,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,21,6.3125,6.21875,6.25,0.03125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,22,6.3125,6.21875,6.125,-0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,23,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,24,6.3125,6.21875,6.1875,-0.03125,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,25,6.3125,6.21875,6.3125,0.09375,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,26,6.3125,6.21875,6.21875,0.0,transformer_lens
29826->29834,nonsense1,det-counterfactual,3,mlp,27,6.3125,6.21875,6.09375,-0.125,transformer_lens
22928->22741,nonsense4,backadj,2,residual,0,7.375,8.3125,7.375,-0.9375,transformer_lens
22928->22741,nonsense4,backadj,2,residual,1,7.375,8.3125,7.375,-0.9375,transformer_lens
22928->22741,nonsense4,backadj,2,residual,2,7.375,8.3125,7.375,-0.9375,transformer_lens
22928->22741,nonsense4,backadj,2,residual,3,7.375,8.3125,7.375,-0.9375,transformer_lens
22928->22741,nonsense4,backadj,2,residual,4,7.375,8.3125,7.375,-0.9375,transformer_lens
22928->22741,nonsense4,backadj,2,residual,5,7.375,8.3125,7.375,-0.9375,transformer_lens
