model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate
qwen3_4b,Qwen3-4B,main,main,nl_var_graph,358,358,0.45251396648044695,0.3463687150837989,0.10614525139664804,0.23184357541899442,0.31564245810055863,0.3463687150837989,0.24022346368715086,0.0
qwen3_4b,Qwen3-4B,main,main,nl_var_query,358,358,0.39664804469273746,0.2709497206703911,0.12569832402234637,0.1787709497206704,0.4245810055865922,0.2709497206703911,0.1452513966480447,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl,22,22,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
qwen3_4b,Qwen3-4B,stress,anticommonsense,nl_formal,22,22,0.13636363636363635,0.13636363636363635,0.0,0.045454545454545456,0.8181818181818182,0.13636363636363635,0.13636363636363635,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl,25,25,0.04,0.0,0.04,0.0,0.96,0.0,-0.04,0.0
qwen3_4b,Qwen3-4B,stress,commonsense,nl_formal,25,25,0.12,0.04,0.08,0.0,0.88,0.04,-0.04,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl,12,12,0.08333333333333333,0.08333333333333333,0.0,0.0,0.9166666666666666,0.08333333333333333,0.08333333333333333,0.0
qwen3_4b,Qwen3-4B,stress,easy,nl_formal,12,12,0.25,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl,17,17,0.058823529411764705,0.058823529411764705,0.0,0.0,0.9411764705882353,0.058823529411764705,0.058823529411764705,0.0
qwen3_4b,Qwen3-4B,stress,hard,nl_formal,17,17,0.058823529411764705,0.0,0.058823529411764705,0.11764705882352941,0.8235294117647058,0.0,-0.058823529411764705,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl,29,29,0.10344827586206896,0.034482758620689655,0.06896551724137931,0.0,0.896551724137931,0.034482758620689655,-0.034482758620689655,0.0
qwen3_4b,Qwen3-4B,stress,noncommonsense,nl_formal,29,29,0.13793103448275862,0.034482758620689655,0.10344827586206896,0.0,0.8620689655172413,0.034482758620689655,-0.06896551724137931,0.0
qwen3_8b,Qwen3-8B,main,main,formula_only,358,358,0.40782122905027934,0.276536312849162,0.13128491620111732,0.2988826815642458,0.29329608938547486,0.276536312849162,0.1452513966480447,0.0
qwen3_8b,Qwen3-8B,main,main,nl,358,358,0.4441340782122905,0.3016759776536313,0.1424581005586592,0.33798882681564246,0.21787709497206703,0.3016759776536313,0.1592178770949721,0.0
qwen3_8b,Qwen3-8B,main,main,nl_formal,358,358,0.4720670391061452,0.3128491620111732,0.15921787709497207,0.2877094972067039,0.24022346368715083,0.3128491620111732,0.15363128491620112,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_graph,358,358,0.46089385474860334,0.30726256983240224,0.15363128491620112,0.2681564245810056,0.2709497206703911,0.30726256983240224,0.15363128491620112,0.0
qwen3_8b,Qwen3-8B,main,main,nl_var_query,358,358,0.41620111731843573,0.26256983240223464,0.15363128491620112,0.2430167597765363,0.3407821229050279,0.26256983240223464,0.10893854748603352,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl,22,22,0.45454545454545453,0.3181818181818182,0.13636363636363635,0.3181818181818182,0.22727272727272727,0.3181818181818182,0.18181818181818182,0.0
qwen3_8b,Qwen3-8B,stress,anticommonsense,nl_formal,22,22,0.22727272727272727,0.09090909090909091,0.13636363636363635,0.2727272727272727,0.5,0.09090909090909091,-0.04545454545454544,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl,25,25,0.16,0.08,0.08,0.48,0.36,0.08,0.0,0.0
qwen3_8b,Qwen3-8B,stress,commonsense,nl_formal,25,25,0.32,0.12,0.2,0.4,0.28,0.12,-0.08000000000000002,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl,12,12,0.3333333333333333,0.08333333333333333,0.25,0.25,0.4166666666666667,0.08333333333333333,-0.16666666666666669,0.0
qwen3_8b,Qwen3-8B,stress,easy,nl_formal,12,12,0.08333333333333333,0.0,0.08333333333333333,0.4166666666666667,0.5,0.0,-0.08333333333333333,0.0
qwen3_8b,Qwen3-8B,stress,hard,nl,17,17,0.47058823529411764,0.11764705882352941,0.35294117647058826,0.29411764705882354,0.23529411764705882,0.11764705882352941,-0.23529411764705885,0.0
qwen3_8b,Qwen3-8B,stress,hard,nl_formal,17,17,0.23529411764705882,0.0,0.23529411764705882,0.29411764705882354,0.47058823529411764,0.0,-0.23529411764705882,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl,29,29,0.3793103448275862,0.20689655172413793,0.1724137931034483,0.10344827586206896,0.5172413793103449,0.20689655172413793,0.03448275862068964,0.0
qwen3_8b,Qwen3-8B,stress,noncommonsense,nl_formal,29,29,0.3448275862068966,0.13793103448275862,0.20689655172413793,0.034482758620689655,0.6206896551724138,0.13793103448275862,-0.06896551724137931,0.0
