model,model_display_name,diagnostic_source,dataset_variant,query_type,scaffold_mode,scaffold_condition,nl_accuracy,scaffold_accuracy,scaffold_gain
qwen3_4b,Qwen3-4B,main,main,ett,nl_formal,NL + Formal Scaffold,0.4666666666666667,0.4,-0.06666666666666665
qwen3_4b,Qwen3-4B,main,main,ett,formula_only,Formalized Input,0.4666666666666667,0.4,-0.06666666666666665
qwen3_4b,Qwen3-4B,main,main,marginal,nl_formal,NL + Formal Scaffold,0.53,0.57,0.039999999999999925
qwen3_4b,Qwen3-4B,main,main,marginal,formula_only,Formalized Input,0.53,0.56,0.030000000000000027
qwen3_4b,Qwen3-4B,main,main,nde,nl_formal,NL + Formal Scaffold,0.6166666666666667,0.6166666666666667,0.0
qwen3_4b,Qwen3-4B,main,main,nde,formula_only,Formalized Input,0.6166666666666667,0.5333333333333333,-0.08333333333333337
qwen3_4b,Qwen3-4B,main,main,nie,nl_formal,NL + Formal Scaffold,0.6166666666666667,0.5166666666666667,-0.09999999999999998
qwen3_4b,Qwen3-4B,main,main,nie,formula_only,Formalized Input,0.6166666666666667,0.5833333333333334,-0.033333333333333326
qwen3_8b,Qwen3-8B,main,main,ate,nl_formal,NL + Formal Scaffold,0.76,0.71,-0.050000000000000044
qwen3_8b,Qwen3-8B,main,main,ate,formula_only,Formalized Input,0.76,0.7,-0.06000000000000005
qwen3_8b,Qwen3-8B,main,main,backadj,nl_formal,NL + Formal Scaffold,0.44,0.45,0.010000000000000009
qwen3_8b,Qwen3-8B,main,main,backadj,formula_only,Formalized Input,0.44,0.5,0.06
qwen3_8b,Qwen3-8B,main,main,correlation,nl_formal,NL + Formal Scaffold,0.55,0.55,0.0
qwen3_8b,Qwen3-8B,main,main,correlation,formula_only,Formalized Input,0.55,0.55,0.0
qwen3_8b,Qwen3-8B,main,main,det-counterfactual,nl_formal,NL + Formal Scaffold,0.5333333333333333,0.5,-0.033333333333333326
qwen3_8b,Qwen3-8B,main,main,det-counterfactual,formula_only,Formalized Input,0.5333333333333333,0.6,0.06666666666666665
qwen3_8b,Qwen3-8B,main,main,ett,nl_formal,NL + Formal Scaffold,0.45,0.43333333333333335,-0.016666666666666663
qwen3_8b,Qwen3-8B,main,main,ett,formula_only,Formalized Input,0.45,0.4166666666666667,-0.033333333333333326
qwen3_8b,Qwen3-8B,main,main,marginal,nl_formal,NL + Formal Scaffold,0.53,0.56,0.030000000000000027
qwen3_8b,Qwen3-8B,main,main,marginal,formula_only,Formalized Input,0.53,0.51,-0.020000000000000018
qwen3_8b,Qwen3-8B,main,main,nde,nl_formal,NL + Formal Scaffold,0.6333333333333333,0.55,-0.08333333333333326
qwen3_8b,Qwen3-8B,main,main,nde,formula_only,Formalized Input,0.6333333333333333,0.6,-0.033333333333333326
qwen3_8b,Qwen3-8B,main,main,nie,nl_formal,NL + Formal Scaffold,0.5666666666666667,0.55,-0.016666666666666607
qwen3_8b,Qwen3-8B,main,main,nie,formula_only,Formalized Input,0.5666666666666667,0.5166666666666667,-0.04999999999999993
