model,model_display_name,diagnostic_source,dataset_variant,query_type,scaffold_mode,scaffold_condition,nl_accuracy,scaffold_accuracy,scaffold_gain
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,ett,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,exp_away,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,marginal,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nde,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,commonsense,nie,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,ate,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,backadj,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,collider_bias,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,correlation,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,det-counterfactual,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,ett,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,exp_away,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,marginal,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nde,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,easy,nie,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,ate,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,backadj,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,collider_bias,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,correlation,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,det-counterfactual,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,ett,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,exp_away,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,marginal,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nde,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,hard,nie,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,ate,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,backadj,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,collider_bias,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,correlation,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,det-counterfactual,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,ett,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,exp_away,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,marginal,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nde,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
qwen3_0_6b,Qwen3-0.6B,stress,noncommonsense,nie,nl_formal,NL + Formal Scaffold,0.5,0.5,0.0
